epoch,train loss,train acc,valid loss,valid acc,test loss,test acc
1,3.11401703419,82.2044444452,1.97585976238,73.88,1.9643712513,72.89
2,1.9225164391,71.5977777762,1.81045582733,66.02,1.78167553596,65.16
3,1.82925441494,67.7066666672,1.74166778603,64.26,1.71424070377,63.31
4,1.76915756433,65.0933333339,1.69251437283,62.48,1.67176790504,61.08
5,1.72606077574,62.9911111101,1.61463458004,59.02,1.60576329689,58.22
6,1.67035865116,60.9044444439,1.58843809395,58.04,1.55240335808,56.67
7,1.63457599358,59.4377777762,1.59175414314,57.46,1.56229377365,55.49
8,1.60011199029,58.0999999995,1.51548954811,55.42,1.48156714554,53.0
9,1.59191760089,57.5733333349,1.51306998444,54.96,1.48896689892,53.69
10,1.54755869713,55.8666666672,1.46840440407,52.22,1.45290704136,51.11
11,1.53460242952,55.0822222201,1.43651969891,51.14,1.40834849319,49.42
12,1.52434096074,54.7111111106,1.43633380642,51.9,1.41520703316,49.39
13,1.50636480274,53.7533333344,1.40465243969,51.6,1.39384116592,51.0
14,1.49431457789,53.3622222217,1.38504100418,49.88,1.37770217209,49.13
15,1.48586351312,53.0266666645,1.35154714756,48.2,1.3422730217,47.41
16,1.4712836042,52.3555555561,1.44018924313,50.56,1.42082631721,48.89
17,1.46401873177,52.3466666677,1.41350901451,50.48,1.39677383995,49.55
18,1.45241630611,51.6888888884,1.44473210773,51.62,1.43765249138,51.3
19,1.44521303234,51.6066666651,1.28994148178,45.58,1.28202045822,45.83
20,1.42749145387,51.2444444423,1.36646052971,48.12,1.34431044846,47.05
21,1.4349914167,51.0577777762,1.36472134857,49.0,1.35377642441,47.93
22,1.42240259173,50.4600000042,1.30191434174,46.66,1.2962571764,45.98
23,1.41879679763,50.7088888889,1.33853542786,46.72,1.33000062218,46.93
24,1.41090377507,50.1333333302,1.30419423141,45.7,1.2898426733,44.66
25,1.42101881379,50.4622222212,1.36962173805,47.68,1.3484705864,47.1
26,1.4065085954,50.191111109,1.27847042542,45.12,1.26180847073,44.73
27,1.39466973315,49.4533333344,1.37196574287,49.7,1.36990925064,48.75
28,1.38487422091,49.3355555587,1.2920252615,44.8,1.27763629475,44.27
29,1.37790835675,48.7866666635,1.2829638361,44.54,1.27432501831,44.68
30,1.37924240019,48.48,1.29020287666,44.78,1.28414008389,44.14
31,1.36933639687,48.5911111069,1.29297405071,45.38,1.30130277786,45.16
32,1.37989410888,48.7044444423,1.266968783,44.66,1.26309442062,44.49
33,1.3572271701,47.8333333328,1.29927826843,46.1,1.28543754501,45.4
34,1.36763014791,48.7955555566,1.28332038155,46.22,1.28120091152,45.77
35,1.36952009614,48.3777777757,1.27323185081,44.66,1.25247149181,43.33
36,1.36004811141,48.2266666656,1.26359625778,43.14,1.24109253044,42.5
37,1.43231804812,50.3755555545,1.28905588093,43.78,1.27927899685,43.66
38,1.37405054997,48.3755555556,1.2229801548,41.98,1.21842572193,41.53
39,1.35346091078,47.4511111153,1.25616220703,43.12,1.2432421627,41.76
40,1.34104299543,47.3533333312,1.2222459053,42.42,1.21008992348,41.69
41,1.35365307462,47.6600000032,1.25936719398,44.52,1.24644716816,43.4
42,1.35086296686,47.657777782,1.25151604023,42.74,1.2415634264,42.86
43,1.32593150334,46.6155555571,1.24887894325,43.42,1.2374679781,43.14
44,1.32251859837,46.6066666645,1.21912541695,43.4,1.20806018867,42.31
45,1.33289034451,46.962222219,1.30535259628,45.94,1.2951816288,45.13
46,1.3247185784,46.9066666672,1.24379553604,43.52,1.23548936272,42.6
47,1.3289638354,47.0488888857,1.2211369566,42.64,1.20710615826,42.23
48,1.32029433621,46.6888888884,1.19341011772,42.1,1.17593450413,40.84
49,1.33271080161,46.9244444476,1.26283251953,44.8,1.24110804195,44.31
50,1.38230999459,48.0511111143,1.24921095314,43.06,1.243465802,42.96
51,1.33435372113,46.7977777799,1.28654879303,46.24,1.25658024216,44.69
52,1.31694477969,46.2933333355,1.20287950287,43.5,1.19798552017,42.92
53,1.32738532007,46.5688888889,1.24452444,44.48,1.24727109299,44.52
54,1.31890569791,46.1955555534,1.27061062469,43.62,1.26704799309,42.64
55,1.32547334898,46.7733333323,1.21010166187,42.02,1.19573010406,41.34
56,1.32213418403,46.448888891,1.19871224537,41.7,1.18809601326,39.8
57,1.30664950504,46.0066666688,1.24750464935,43.48,1.24882217712,42.67
58,1.31297782398,46.0199999984,1.2245597374,43.9,1.21298518028,42.41
59,1.30131686132,45.6155555545,1.18460211906,41.8,1.17575302963,40.43
60,1.29615751438,45.5555555534,1.2001210289,42.58,1.19058590221,41.54
61,1.29882622704,46.0733333333,1.1658445776,40.5,1.16209596272,39.72
62,1.29689258196,45.5666666677,1.20508370361,42.56,1.18485348644,40.95
63,1.31686767248,46.0911111101,1.1628365881,40.8,1.16713819637,40.47
64,1.288342125,45.4355555524,1.20963343735,42.56,1.19481476364,40.76
65,1.29816395226,45.5311111101,1.25758163452,44.38,1.25320621262,43.61
66,1.30005723794,45.8066666656,1.18681160202,41.94,1.18547241325,41.51
67,1.29659712031,45.3311111095,1.20608879013,41.7,1.18157930012,40.56
68,1.29749017845,45.4377777788,1.20936201477,43.82,1.21711621361,43.23
69,1.28388140418,44.9377777762,1.20234535599,41.76,1.19755244522,40.71
70,1.29932678687,45.3288888847,1.21902410316,42.82,1.20236648254,42.02
71,1.27772567622,44.9444444466,1.14484742985,39.84,1.13509140663,38.55
72,1.2905036638,45.1688888868,1.2355735611,42.84,1.22632819824,41.22
73,1.29531929381,45.5066666709,1.19482382107,42.24,1.19263320236,42.53
74,1.28773882711,45.1377777735,1.17712005234,41.7,1.16685255585,41.18
75,1.29501916445,45.4266666635,1.17094933777,40.38,1.17514223137,40.02
76,1.28051518514,44.6111111122,1.20778489361,41.36,1.20376820869,41.25
77,1.2877863764,45.1177777762,1.16138292847,39.98,1.16456102295,39.67
78,1.27888919159,45.0022222201,1.17255324631,40.92,1.16140605011,39.7
79,1.29000659936,44.802222218,1.1986116291,41.92,1.17922014656,41.01
80,1.2912730058,45.117777781,1.15845231628,41.12,1.16963899117,40.59
81,1.28148604919,44.9444444439,1.19567696743,41.22,1.19653392124,40.31
82,1.28316193165,44.7844444455,1.14683944359,40.54,1.13758592453,39.35
83,1.27459568723,44.7111111111,1.1560384552,40.48,1.16079430885,39.72
84,1.27595393904,44.8111111079,1.18266624985,41.16,1.18087375259,40.08
85,1.27638680289,44.6977777778,1.16741390762,40.24,1.16795688591,38.75
86,1.27868860715,44.8422222265,1.13601463394,38.38,1.13447307549,38.73
87,1.27044838469,44.4000000042,1.16831594276,41.96,1.18258462677,41.71
88,1.28302958368,44.7022222201,1.22698709583,41.96,1.22255124054,40.5
89,1.26709906898,44.5222222243,1.20083782692,41.82,1.19849996452,41.85
90,1.2639402319,44.2511111079,1.08974757347,39.0,1.0801138279,37.71
91,1.27272800511,44.282222219,1.14685853691,39.84,1.13635921059,38.84
92,1.27540174711,44.4977777788,1.11101549339,38.2,1.10917291107,37.48
93,1.26370906891,44.0977777757,1.19146092529,40.82,1.17803925915,39.94
94,1.26272581849,44.1044444444,1.1707270565,40.64,1.16218254509,40.06
95,1.26438165872,43.931111109,1.14919836235,40.84,1.14603517342,39.71
96,1.27488102822,44.5733333302,1.22178467312,43.36,1.20605076847,42.21
97,1.27089590287,44.2377777778,1.15517367668,40.14,1.14490587196,38.52
98,1.26460258528,44.4977777788,1.17398778877,41.06,1.17161113129,39.82
99,1.26358106208,44.24,1.16105133591,40.08,1.15353688965,38.75
100,1.27810002838,44.722222218,1.24983673553,43.54,1.24468707695,43.31
101,1.15291171118,40.3800000011,1.04693792534,36.24,1.04121792736,35.13
102,1.10535860534,38.6466666688,1.02818123035,35.96,1.02842481346,34.89
103,1.09132733487,38.1977777735,1.02111954918,35.6,1.01916178436,34.8
104,1.07402135071,37.6444444434,1.01542725487,35.1,1.00958656616,34.42
105,1.07213948273,37.931111109,0.99801102066,34.92,0.996812609482,33.76
106,1.06352707962,37.4711111153,0.994093445587,34.32,0.990438871002,33.9
107,1.0579877438,37.002222218,0.997595490456,34.64,0.995578614235,33.92
108,1.04790716007,36.9111111153,0.984641616249,34.3,0.985329766464,33.55
109,1.03641926813,36.3577777767,0.976606892967,33.8,0.978688323784,33.42
110,1.04174452527,36.5244444402,0.985730039597,34.02,0.986734426117,33.65
111,1.03559320251,36.5466666645,0.980842750931,33.76,0.975686884117,33.13
112,1.03339376463,36.1977777767,0.978664038467,34.18,0.978454154587,33.19
113,1.0181781769,35.9688888931,0.97062571907,33.9,0.970363274002,33.19
114,1.0182851827,35.9133333355,0.971159248352,33.44,0.973659895706,33.44
115,1.01561718252,35.7422222212,0.957725924683,33.18,0.957388006783,32.52
116,1.01473118477,35.4155555598,0.960019432449,33.56,0.953809315872,32.71
117,1.00753786449,35.6244444444,0.9498415205,32.86,0.947125699234,32.61
118,1.00827682307,35.422222218,0.94896199398,33.06,0.946023958015,32.46
119,0.997966307725,34.9933333323,0.950558142471,33.4,0.946188595581,32.79
120,0.99575530226,34.8511111069,0.941490107727,32.96,0.936845938492,32.27
121,0.994706015078,35.2044444487,0.949003239059,32.92,0.943625733948,32.21
122,0.983021498627,34.6711111122,0.940956319046,32.62,0.94532258873,32.4
123,0.98441974641,34.7111111069,0.940981759644,32.96,0.938460800743,31.95
124,0.972485690975,34.5088888921,0.936383950424,32.94,0.931600884628,32.06
125,0.969773858028,34.0733333376,0.930285289764,32.88,0.923552396393,31.91
126,0.961961675347,33.8666666677,0.925209952545,32.38,0.915974936676,31.49
127,0.962049905099,33.8822222233,0.918596411324,31.8,0.912002287865,30.8
128,0.952988359271,33.7311111153,0.9037952425,31.68,0.898678080368,30.72
129,0.953356314744,33.4933333302,0.908265917587,31.18,0.906631216431,31.0
130,0.935968188519,33.3577777767,0.893042379379,30.98,0.893433218384,30.2
131,0.933896683608,33.0066666698,0.894231212997,31.2,0.892789292908,30.15
